               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069636,             0.02474,            0.025349,             0.83438,             0.28456,             0.35596,             0.16062,            0.057733,            0.015231,            0.019649,            0.070492,           0.0032787,           0.0032787
                   1,            0.045725,            0.016867,            0.019657,             0.22489,             0.58148,             0.35755,             0.11954,            0.060338,            0.012336,            0.017564,            0.040361,           0.0064811,           0.0064811
                   2,            0.044318,            0.013781,            0.016396,             0.81034,             0.33848,              0.4679,             0.24566,            0.042541,            0.012712,            0.011244,            0.010098,           0.0095515,           0.0095515
                   3,            0.043011,            0.012666,             0.01203,             0.41162,             0.61579,             0.54762,             0.27958,            0.041273,             0.01085,            0.011634,            0.009406,            0.009406,            0.009406
                   4,            0.038993,            0.011225,           0.0089792,             0.65528,              0.5956,             0.65357,             0.34087,            0.038419,            0.011452,            0.006866,            0.009406,            0.009406,            0.009406
                   5,            0.039387,             0.01078,           0.0063819,             0.76471,             0.74386,             0.78267,             0.45573,            0.036226,            0.011375,           0.0072532,            0.009208,            0.009208,            0.009208
                   6,             0.03548,           0.0094617,           0.0046801,             0.71585,             0.75493,             0.72194,             0.38899,            0.030691,           0.0090854,            0.006107,             0.00901,             0.00901,             0.00901
                   7,            0.034086,           0.0087652,            0.003534,             0.68932,             0.82648,             0.74558,             0.43983,            0.031661,           0.0078219,           0.0042774,            0.008812,            0.008812,            0.008812
                   8,            0.030739,           0.0085977,           0.0041776,             0.81615,              0.9015,             0.94213,             0.61789,            0.028333,           0.0076579,           0.0033191,            0.008614,            0.008614,            0.008614
                   9,            0.030626,           0.0079859,           0.0033079,             0.82424,             0.87221,             0.90625,             0.60276,            0.027599,           0.0073025,           0.0037211,            0.008416,            0.008416,            0.008416
                  10,            0.028587,           0.0078614,           0.0022718,             0.77597,             0.89778,             0.88555,             0.59067,             0.02634,           0.0065317,           0.0048408,            0.008218,            0.008218,            0.008218
                  11,            0.027801,           0.0074198,           0.0030181,              0.8277,             0.79992,             0.86287,             0.55165,            0.027167,           0.0071832,           0.0034287,             0.00802,             0.00802,             0.00802
                  12,            0.026562,           0.0069977,           0.0020934,             0.81845,             0.94421,             0.94738,              0.6293,            0.025109,           0.0061145,           0.0040918,            0.007822,            0.007822,            0.007822
